hit_id,smiles,vina_PD-L1,vina_TGF-bR1,dual_score
HIT_0087,Fc1cc2c(c(N3CC[C@]34CCOc3ccc(F)cc34)c1)CCNC2,-7.647,-5.317,-12.964
HIT_0088,C[C@@]12CC[C@@H](Oc3ccnc4c3CN([C@@H]3CCCc5ncncc53)C4)[C@@H](CN1)C2,-7.084,-5.88,-12.963999999999999
HIT_0089,N#Cc1ccc(N2CCOc3cc(N4C[C@H](O)CC5(CCC5)C4)ccc32)cc1F,-7.785,-5.178,-12.963000000000001
HIT_0090,C[C@@H]1CC[C@H](N2c3ccc(F)cc3OC[C@@H]2C)CN1c1cncc2c1CCCN2,-8.63,-4.333,-12.963000000000001
HIT_0091,Oc1cccc2c1CCN([C@@H]1CCCCN(c3ccc4c(c3)CNC4)C1)C2,-7.389,-5.571,-12.96
HIT_0092,CC1(C(=O)N2CCCc3cc(F)cc(F)c32)CN(c2cccc3c2CNCC3)C1,-7.029,-5.93,-12.959
HIT_0093,CC(=O)Nc1cnc(Oc2ccc3c(c2)N(c2cccc(Cl)n2)CCN3)c(C)c1,-7.505,-5.452,-12.957
HIT_0094,Cc1cc(-c2ccc3c(n2)N(C(=O)[C@H]2NCCC[C@H]2C)CC3)ccc1F,-7.983,-4.973,-12.956
HIT_0095,O=C1NCCc2cc(N3CCC4(CC3)OCc3ccc(Cl)cc34)ccc21,-7.662,-5.29,-12.952
HIT_0096,c1cc2c(c(N3CCCNC[C@H](N4CCc5ccncc54)C3)c1)CCN2,-7.732,-5.217,-12.949
HIT_0097,Cc1ncnc2c1CN(c1ccc3c(c1)[C@@]1(CC3)COCCN1)CC2,-7.877,-5.068,-12.945
HIT_0098,Cc1cccc2c1[C@H](N1CCCc3c(Cl)cccc3C1)CCN2,-7.791,-5.153,-12.943999999999999
HIT_0099,C[C@H]1C[C@@H](O)CCN1[C@H]1COCc2ccc(N3CCc4cccc(O)c43)cc21,-7.652,-5.286,-12.937999999999999
HIT_0100,N#Cc1ccc(N2CCO[C@H](CN3CCC[C@@H](O)c4cc(F)ccc43)C2)cc1F,-7.666,-5.266,-12.932
HIT_0101,Cc1ccnc(N2C[C@H](O)CC[C@@H]2C(=O)N2CCc3c(F)cccc32)c1,-8.039,-4.892,-12.931000000000001
HIT_0102,COc1cccc2c1CN(c1ccc3c(c1)NCC3)CCCO2,-7.603,-5.321,-12.924
HIT_0103,Fc1ccc(-c2nccc3c2CCN(c2cnc4n2CCNC4)C3)cc1,-8.403,-4.517,-12.920000000000002
HIT_0104,N#CC1=C(C(=O)N2Cc3cc(F)ccc3C[C@@H]2C(=O)N2Cc3ccc(F)cc3C2)CCC1,-7.407,-5.501,-12.908000000000001
HIT_0105,CC1=C(N2CCc3c(F)ccc(F)c3C2)CN(C(=O)N2CCC(N)CC2)CC1,-7.912,-4.995,-12.907
